fecha,distrito,NO2,PM10,PM2.5,O3,SO2,CO,ICA,calidad,recomendacion
2022-01-22,Centro,52.44,30.48,17.23,37.06,5.75,0.41,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-23,Centro,41.13,21.44,12.88,41.86,4.02,0.41,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-24,Centro,51.48,28.05,17.04,37.54,6.59,0.69,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-25,Centro,64.6,46.33,27.28,36.42,5.43,0.73,3,Mala,Sensibles al aire pueden experimentar síntomas
2022-01-26,Centro,61.58,41.24,25.08,47.03,4.5,0.62,3,Mala,Sensibles al aire pueden experimentar síntomas
2022-01-27,Centro,57.23,34.96,23.07,49.58,5.41,0.54,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-28,Centro,53.02,33.88,20.0,42.78,3.34,0.67,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-29,Centro,48.25,30.34,17.37,39.24,7.03,0.46,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-30,Centro,40.07,27.97,18.12,36.94,4.98,0.44,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-31,Centro,53.56,44.2,28.96,47.19,4.62,0.59,3,Mala,Sensibles al aire pueden experimentar síntomas
2022-02-01,Centro,56.11,37.51,20.76,50.01,6.02,0.55,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-02,Centro,61.46,36.92,21.24,33.34,7.35,0.58,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-03,Centro,59.08,33.75,21.38,35.46,5.43,0.69,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-04,Centro,54.02,31.79,18.84,34.57,3.4,0.59,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-05,Centro,54.06,25.47,16.69,32.92,7.4,0.44,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-06,Centro,40.43,35.34,23.19,38.14,3.99,0.52,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-07,Centro,56.25,38.3,20.86,45.8,5.74,0.49,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-08,Centro,63.94,48.66,27.87,36.33,5.2,0.53,3,Mala,Sensibles al aire pueden experimentar síntomas
2022-02-09,Centro,75.6,31.92,20.62,35.59,4.52,0.56,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-10,Centro,43.33,30.42,17.15,32.52,6.04,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-11,Centro,62.04,34.27,20.81,37.44,5.11,0.67,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-12,Centro,47.25,33.27,19.57,37.59,7.25,0.5,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-13,Centro,41.82,23.97,14.09,39.86,5.8,0.43,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-14,Centro,50.12,31.38,19.85,45.36,5.28,0.56,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-15,Centro,59.93,30.99,20.12,37.0,3.73,0.79,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-16,Centro,47.4,29.41,18.03,34.81,5.15,0.58,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-17,Centro,71.52,37.69,24.17,33.43,6.41,0.62,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-18,Centro,52.83,35.31,20.73,33.65,4.95,0.58,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-19,Centro,48.35,36.45,22.02,49.77,3.83,0.42,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-20,Centro,46.34,26.97,17.47,49.15,5.61,0.41,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-21,Centro,54.53,40.77,25.79,51.47,6.4,0.67,3,Mala,Sensibles al aire pueden experimentar síntomas
2022-02-22,Centro,49.28,40.86,24.75,59.3,4.22,0.59,3,Mala,Sensibles al aire pueden experimentar síntomas
2022-02-23,Centro,54.63,41.81,26.69,53.44,3.96,0.67,3,Mala,Sensibles al aire pueden experimentar síntomas
2022-02-24,Centro,65.09,40.38,25.94,51.96,5.84,0.62,3,Mala,Sensibles al aire pueden experimentar síntomas
2022-02-25,Centro,60.27,42.94,24.09,46.64,5.24,0.61,3,Mala,Sensibles al aire pueden experimentar síntomas
2022-02-26,Centro,56.36,32.58,18.85,34.16,11.25,0.43,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-27,Centro,45.72,31.72,18.37,42.77,4.75,0.43,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-02-28,Centro,63.81,45.62,24.79,41.67,4.54,0.61,3,Mala,Sensibles al aire pueden experimentar síntomas
2022-03-01,Centro,57.91,26.24,14.95,49.53,4.44,0.44,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-02,Centro,46.67,28.96,18.42,81.61,3.68,0.46,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-03,Centro,35.78,26.16,15.61,81.7,3.21,0.48,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-04,Centro,45.43,35.22,19.25,48.11,3.78,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-05,Centro,42.25,20.44,11.28,44.91,5.61,0.45,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-06,Centro,36.31,18.71,10.63,70.26,4.35,0.38,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-07,Centro,48.64,22.04,12.48,72.42,2.42,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-08,Centro,44.18,26.04,16.6,53.16,4.0,0.44,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-09,Centro,31.98,21.58,12.55,67.87,3.61,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-10,Centro,54.16,29.99,18.3,73.4,4.98,0.49,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-11,Centro,46.66,28.26,15.62,65.73,2.87,0.48,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-12,Centro,51.06,30.34,16.72,68.58,4.23,0.43,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-13,Centro,37.27,21.76,12.29,78.9,5.12,0.33,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-14,Centro,53.6,24.52,13.45,43.26,4.47,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-15,Centro,51.31,29.67,16.16,59.99,3.31,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-16,Centro,51.88,27.1,17.12,93.5,4.77,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-17,Centro,44.74,28.38,15.48,58.46,2.86,0.53,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-18,Centro,44.43,28.97,18.73,51.71,4.93,0.53,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-19,Centro,38.26,27.11,17.42,83.21,3.36,0.44,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-20,Centro,25.23,24.16,15.78,55.22,7.19,0.35,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-21,Centro,39.95,27.46,15.33,60.02,4.11,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-22,Centro,46.06,26.64,17.38,61.2,3.16,0.5,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-23,Centro,47.33,27.3,17.52,64.09,3.6,0.43,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-24,Centro,46.32,31.73,19.6,82.31,4.86,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-25,Centro,46.42,28.51,17.07,59.29,5.22,0.45,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-26,Centro,27.1,27.09,16.01,63.81,4.69,0.39,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-27,Centro,32.72,20.62,11.14,60.37,6.8,0.31,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-28,Centro,39.93,30.76,20.08,77.22,8.04,0.5,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-29,Centro,48.55,29.14,17.44,94.14,4.17,0.48,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-30,Centro,37.57,28.2,17.87,43.42,9.15,0.65,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-03-31,Centro,41.71,30.11,16.64,66.17,5.11,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-01,Centro,46.97,33.97,19.35,46.8,4.19,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-02,Centro,40.47,19.1,12.5,81.05,2.73,0.38,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-03,Centro,35.31,16.66,9.52,52.03,4.02,0.35,1,Buena,Calidad del aire satisfactoria
2022-04-04,Centro,47.73,29.63,17.33,67.65,3.44,0.55,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-05,Centro,55.9,25.75,16.61,48.34,2.6,0.55,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-06,Centro,40.79,30.47,19.43,52.67,4.1,0.5,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-07,Centro,51.63,29.44,15.96,45.89,4.94,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-08,Centro,47.82,28.98,16.09,66.94,4.9,0.54,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-09,Centro,50.27,26.62,16.25,47.42,2.89,0.36,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-10,Centro,35.86,17.82,11.09,61.05,5.47,0.34,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-11,Centro,32.8,28.25,18.22,49.68,7.79,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-12,Centro,39.04,20.99,12.1,56.5,5.42,0.56,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-13,Centro,37.19,25.34,15.29,73.51,5.18,0.5,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-14,Centro,48.11,25.38,14.53,60.92,4.42,0.57,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-15,Centro,58.78,29.91,18.26,81.08,4.43,0.43,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-16,Centro,43.1,23.37,13.99,76.05,3.5,0.42,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-17,Centro,29.22,24.41,14.82,56.21,4.67,0.29,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-18,Centro,45.14,35.02,20.84,56.62,4.2,0.48,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-19,Centro,46.07,30.06,17.4,68.57,5.26,0.64,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-20,Centro,49.01,32.73,19.83,81.26,6.29,0.6,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-21,Centro,47.77,25.65,14.28,88.24,6.59,0.52,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-22,Centro,49.76,29.32,18.28,56.47,5.45,0.46,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-23,Centro,47.7,28.26,16.22,86.92,3.65,0.44,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-24,Centro,31.24,29.19,15.87,114.2,6.05,0.33,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-25,Centro,48.74,30.44,18.55,90.27,5.98,0.59,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-26,Centro,52.16,23.5,14.21,63.11,5.72,0.42,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-27,Centro,48.56,28.88,18.81,64.61,3.96,0.54,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-28,Centro,51.62,26.25,15.81,69.39,6.39,0.46,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-29,Centro,45.4,29.66,16.88,42.57,5.26,0.57,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-04-30,Centro,32.34,22.65,12.27,65.92,6.41,0.38,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-01,Centro,33.8,20.76,11.6,65.92,5.26,0.33,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-02,Centro,40.59,23.74,13.3,50.75,4.95,0.43,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-03,Centro,46.38,35.95,21.61,55.56,4.25,0.59,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-04,Centro,43.95,26.89,14.73,87.61,3.97,0.43,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-05,Centro,46.35,33.13,20.06,75.46,3.03,0.48,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-06,Centro,43.74,34.85,22.59,65.51,3.35,0.55,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-07,Centro,39.98,28.37,15.4,76.5,3.92,0.42,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-08,Centro,30.21,20.58,11.66,86.14,6.98,0.34,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-09,Centro,53.47,24.06,14.74,67.96,5.36,0.55,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-10,Centro,40.93,25.95,15.48,56.04,3.81,0.46,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-11,Centro,50.52,27.73,15.08,60.88,3.8,0.53,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-12,Centro,46.49,22.0,14.47,54.11,5.23,0.48,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-13,Centro,41.34,24.92,15.61,66.63,4.47,0.45,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-14,Centro,36.04,20.03,12.47,62.52,6.69,0.49,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-15,Centro,28.07,17.66,9.9,62.99,5.56,0.31,1,Buena,Calidad del aire satisfactoria
2022-05-16,Centro,43.43,28.79,18.74,49.49,2.54,0.53,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-17,Centro,41.23,27.75,17.81,72.36,4.32,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-18,Centro,45.72,29.08,17.88,58.23,7.66,0.56,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-19,Centro,34.07,32.66,20.42,45.59,6.02,0.59,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-20,Centro,47.23,40.28,23.74,69.67,2.98,0.57,3,Mala,Sensibles al aire pueden experimentar síntomas
2022-05-21,Centro,32.28,23.43,14.06,67.61,4.62,0.41,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-22,Centro,29.88,21.09,12.19,51.44,5.03,0.36,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-23,Centro,45.15,26.23,16.01,53.61,5.48,0.52,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-24,Centro,47.39,30.53,16.76,64.31,4.72,0.53,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-25,Centro,56.02,31.01,18.88,37.61,3.55,0.49,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-26,Centro,45.86,28.89,17.96,47.8,6.01,0.46,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-27,Centro,50.57,25.78,15.35,57.35,3.54,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-28,Centro,34.03,23.87,13.39,77.53,2.53,0.41,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-29,Centro,29.37,22.62,14.72,59.95,4.92,0.35,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-30,Centro,50.66,37.6,24.57,66.65,6.26,0.46,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-05-31,Centro,48.79,26.9,17.37,56.04,3.51,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-01,Centro,43.56,21.4,12.55,106.3,4.66,0.48,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-02,Centro,38.47,21.44,13.62,77.13,3.42,0.55,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-03,Centro,32.88,25.11,14.66,67.26,3.11,0.5,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-04,Centro,28.43,20.5,12.84,79.17,4.23,0.41,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-05,Centro,22.27,21.2,13.73,94.32,6.12,0.34,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-06,Centro,30.27,21.17,13.63,104.01,3.09,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-07,Centro,36.73,22.32,13.32,126.91,5.03,0.46,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-08,Centro,43.66,22.03,12.0,113.19,5.08,0.43,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-09,Centro,34.66,25.31,14.03,96.28,4.56,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-10,Centro,40.61,25.1,14.83,114.43,2.64,0.45,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-11,Centro,26.21,17.45,11.44,112.3,4.92,0.42,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-12,Centro,24.19,21.16,12.74,105.47,4.6,0.33,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-13,Centro,34.44,18.19,10.28,80.38,4.77,0.48,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-14,Centro,36.55,19.88,13.1,89.61,3.3,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-15,Centro,32.72,31.47,18.98,80.47,4.35,0.44,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-16,Centro,30.51,22.6,14.33,103.93,5.25,0.46,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-17,Centro,38.76,18.45,9.97,111.6,4.29,0.41,1,Buena,Calidad del aire satisfactoria
2022-06-18,Centro,30.59,21.18,13.6,104.05,3.2,0.41,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-19,Centro,22.54,17.92,10.74,102.85,3.52,0.31,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-20,Centro,37.02,19.38,10.68,132.89,4.95,0.34,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-21,Centro,24.0,27.92,16.55,105.92,4.22,0.44,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-22,Centro,39.35,21.05,13.17,100.56,5.5,0.43,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-23,Centro,37.07,25.97,14.73,103.41,3.74,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-24,Centro,29.44,27.92,17.62,72.34,4.27,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-25,Centro,24.37,19.54,12.67,106.34,3.83,0.35,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-26,Centro,24.57,17.29,11.35,126.66,3.58,0.29,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-27,Centro,34.36,22.57,12.73,74.71,3.34,0.56,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-28,Centro,33.74,20.87,11.31,85.02,5.32,0.42,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-29,Centro,38.5,21.54,13.8,60.19,5.05,0.42,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-06-30,Centro,32.88,25.4,14.59,92.04,4.42,0.41,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-01,Centro,41.43,19.65,12.19,104.56,3.91,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-02,Centro,26.97,17.6,9.97,77.1,2.5,0.41,1,Buena,Calidad del aire satisfactoria
2022-07-03,Centro,21.83,21.37,12.08,99.11,5.87,0.3,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-04,Centro,42.0,23.0,12.83,110.29,5.43,0.49,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-05,Centro,38.62,17.9,10.8,53.4,3.5,0.4,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-06,Centro,35.64,23.48,14.81,114.03,4.5,0.5,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-07,Centro,34.71,21.1,13.25,86.66,4.63,0.49,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-08,Centro,28.64,19.14,11.97,99.75,5.4,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-09,Centro,34.25,19.73,10.99,134.19,3.27,0.37,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-10,Centro,29.36,17.12,10.55,119.4,5.45,0.27,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-11,Centro,36.49,20.68,12.24,92.49,4.09,0.41,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-12,Centro,35.33,25.97,16.04,78.81,4.88,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-13,Centro,27.99,21.74,13.05,75.02,3.23,0.39,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-14,Centro,28.43,18.57,11.24,61.93,3.53,0.5,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-15,Centro,36.69,19.32,11.44,81.3,5.42,0.29,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-16,Centro,35.67,21.12,13.8,100.06,3.32,0.38,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-17,Centro,23.78,13.22,8.31,95.24,3.45,0.31,1,Buena,Calidad del aire satisfactoria
2022-07-18,Centro,35.36,20.77,11.96,96.01,4.83,0.46,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-19,Centro,38.27,22.25,14.32,96.03,5.18,0.55,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-20,Centro,35.44,24.32,13.62,104.6,3.15,0.45,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-21,Centro,35.18,18.22,10.37,67.82,4.34,0.46,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-22,Centro,33.06,20.54,11.41,79.11,4.1,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-23,Centro,24.96,20.17,12.74,96.58,4.04,0.39,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-24,Centro,26.22,15.36,8.63,76.22,5.29,0.31,1,Buena,Calidad del aire satisfactoria
2022-07-25,Centro,37.92,23.83,14.19,124.36,2.94,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-26,Centro,33.49,26.64,17.07,78.52,4.67,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-27,Centro,35.27,19.56,12.53,81.5,2.44,0.41,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-28,Centro,29.7,19.46,12.84,99.19,3.21,0.48,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-29,Centro,34.91,22.61,12.93,87.82,4.08,0.49,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-30,Centro,28.92,16.28,10.28,83.96,3.91,0.44,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-07-31,Centro,21.33,11.86,6.41,87.27,4.18,0.35,1,Buena,Calidad del aire satisfactoria
2022-08-01,Centro,39.09,17.44,9.97,77.95,4.01,0.41,1,Buena,Calidad del aire satisfactoria
2022-08-02,Centro,30.65,20.13,13.14,89.94,3.02,0.52,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-08-03,Centro,39.28,16.75,10.98,90.02,4.24,0.43,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-08-04,Centro,37.73,20.81,13.52,82.9,3.62,0.53,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-08-05,Centro,38.09,28.48,18.64,81.43,4.72,0.43,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-08-06,Centro,30.22,17.24,11.29,103.04,3.64,0.4,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-08-07,Centro,22.28,13.92,8.87,86.71,5.4,0.31,1,Buena,Calidad del aire satisfactoria
2022-08-08,Centro,37.52,26.08,15.14,94.95,2.74,0.48,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-08-09,Centro,36.75,21.83,12.99,82.46,4.1,0.47,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-08-10,Centro,29.97,22.4,13.42,85.64,4.65,0.45,2,Moderada,Calidad del aire aceptable para la mayoría de personas
